yORF,gene name,GFP tagged,GFP visualized?,TAP visualized?,abundance,error,localization summary
YNL027W,CRZ1,tagged,visualized,TAP visualized,1160,,cytoplasm
YNL030W,HHF2,tagged,visualized,TAP visualized,681000,,nucleus
YNL031C,HHT2,tagged,visualized,TAP visualized,248000,,ambiguous
YNL032W,SIW14,tagged,visualized,TAP visualized,4070,,cytoplasm
YNL035C,,tagged,visualized,TAP visualized,3970,,nucleus
YNL036W,NCE103,tagged,visualized,TAP visualized,2330,,"cytoplasm,nucleus"
YNL037C,IDH1,tagged,visualized,TAP visualized,10500,,mitochondrion
YNL039W,BDP1,tagged,visualized,TAP visualized,low signal,,nucleus
YNL040W,,tagged,visualized,TAP visualized,1470,,cytoplasm
YNL041C,COG6,tagged,visualized,TAP visualized,1720,,Golgi
YNL042W,BOP3,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YNL044W,YIP3,tagged,visualized,TAP visualized,5500,,"Golgi,early Golgi"
YNL045W,,tagged,visualized,TAP visualized,5590,,"cytoplasm,nucleus"
YNL046W,,tagged,visualized,TAP visualized,704,,ER
YNL048W,ALG11,tagged,visualized,TAP visualized,3140,,ER
YNL049C,SFB2,tagged,visualized,TAP visualized,1720,,ER to Golgi
YNL051W,COG5,tagged,visualized,TAP visualized,468,,"Golgi,early Golgi"
YNL052W,COX5A,tagged,visualized,TAP visualized,3670,,mitochondrion
YNL053W,MSG5,tagged,visualized,TAP visualized,538,,cytoplasm
YNL055C,POR1,tagged,visualized,TAP visualized,technical problem,,"cytoplasm,mitochondrion"
YNL056W,,tagged,visualized,TAP visualized,4530,,cytoplasm
YNL058C,,tagged,visualized,TAP visualized,low signal,,vacuole
YNL059C,ARP5,tagged,visualized,TAP visualized,2170,,"cytoplasm,nucleus"
YNL061W,NOP2,tagged,visualized,TAP visualized,18700,2460.0,"nucleolus,nucleus"
YNL062C,GCD10,tagged,visualized,TAP visualized,2580,56.0,nucleus
YNL063W,,tagged,visualized,TAP visualized,13200,,mitochondrion
YNL064C,YDJ1,tagged,visualized,TAP visualized,119000,,"cytoplasm,nucleus"
YNL065W,AQR1,tagged,visualized,not TAP visualized,not visualized,,"cell periphery,vacuole"
YNL066W,SUN4,tagged,visualized,TAP visualized,24700,,vacuole
YNL067W,RPL9B,tagged,visualized,TAP visualized,76000,,cytoplasm
YNL068C,FKH2,tagged,visualized,TAP visualized,656,,nucleus
YNL070W,TOM7,tagged,visualized,TAP visualized,3250,,mitochondrion
YNL071W,LAT1,tagged,visualized,TAP visualized,5440,,mitochondrion
YNL072W,RNH35,tagged,visualized,TAP visualized,623,,"cytoplasm,nucleus"
YNL073W,MSK1,tagged,visualized,TAP visualized,2280,,mitochondrion
YNL074C,MLF3,tagged,visualized,not TAP visualized,not visualized,,cytoplasm
YNL076W,MKS1,tagged,visualized,not TAP visualized,not visualized,,cytoplasm
YNL077W,APJ1,tagged,visualized,TAP visualized,125,,"cytoplasm,nucleus"
YNL078W,NIS1,tagged,visualized,TAP visualized,504,,"bud neck,cell periphery"
YNL081C,SWS2,tagged,visualized,TAP visualized,259,,mitochondrion
YNL082W,PMS1,tagged,visualized,TAP visualized,521,,"cytoplasm,nucleus"
YNL083W,,tagged,visualized,TAP visualized,1170,,mitochondrion
YNL084C,END3,tagged,visualized,TAP visualized,2610,,punctate composite
YNL085W,MKT1,tagged,visualized,TAP visualized,3430,,"cytoplasm,punctate composite"
YNL086W,,tagged,visualized,TAP visualized,195,,endosome
YNL087W,,tagged,visualized,TAP visualized,2630,,cell periphery
YNL088W,TOP2,tagged,visualized,TAP visualized,5730,,nucleus
YNL090W,RHO2,tagged,visualized,TAP visualized,3870,,"cytoplasm,nucleus"
YNL091W,NST1,tagged,visualized,TAP visualized,217,,cytoplasm
YNL094W,APP1,tagged,visualized,TAP visualized,2290,,cytoplasm
YNL095C,,tagged,visualized,TAP visualized,low signal,,ER
YNL096C,RPS7B,tagged,visualized,TAP visualized,43500,,cytoplasm
YNL097C,PHO23,tagged,visualized,TAP visualized,3250,,nucleus
YNL098C,RAS2,tagged,visualized,TAP visualized,19800,,"cytoplasm,nucleus"
YNL099C,OCA1,tagged,visualized,TAP visualized,2310,,cytoplasm
YNL100W,,tagged,visualized,TAP visualized,5460,,mitochondrion
YNL102W,POL1,tagged,visualized,TAP visualized,1050,,nucleus
YNL103W,MET4,tagged,visualized,TAP visualized,1300,,nucleus
YNL104C,LEU4,tagged,visualized,TAP visualized,6630,,"cytoplasm,mitochondrion"
YNL106C,INP52,tagged,visualized,TAP visualized,low signal,,actin
YNL107W,YAF9,tagged,visualized,TAP visualized,259,,"cytoplasm,nucleus"
YNL108C,,tagged,visualized,TAP visualized,1950,,"cytoplasm,nucleus"
YNL110C,NOP15,tagged,visualized,TAP visualized,4280,,"nucleolus,nucleus"
YNL111C,CYB5,tagged,visualized,TAP visualized,5390,,ER
YNL112W,DBP2,tagged,visualized,TAP visualized,33100,8470.0,"cytoplasm,nucleus"
YNL113W,RPC19,tagged,visualized,TAP visualized,8680,,nucleolus
YNL115C,,tagged,visualized,not TAP visualized,not visualized,,vacuole
YNL116W,,tagged,visualized,TAP visualized,1750,,cytoplasm
YNL118C,DCP2,tagged,visualized,TAP visualized,8530,,punctate composite
YNL119W,,tagged,visualized,TAP visualized,2860,,cytoplasm
YNL121C,TOM70,tagged,visualized,TAP visualized,45300,,mitochondrion
YNL122C,,tagged,visualized,TAP visualized,low signal,,mitochondrion
YNL123W,,tagged,visualized,TAP visualized,3150,,nucleus
YNL124W,NAF1,tagged,visualized,TAP visualized,1810,,nucleus
YNL125C,ESBP6,tagged,visualized,not TAP visualized,not visualized,,ER
YNL126W,SPC98,tagged,visualized,TAP visualized,56.9,,"punctate composite,spindle pole"
YNL127W,FAR11,tagged,visualized,TAP visualized,1080,,ambiguous
YNL129W,,tagged,visualized,TAP visualized,1460,,cytoplasm
YNL130C,CPT1,tagged,visualized,TAP visualized,981,,punctate composite
YNL131W,TOM22,tagged,visualized,TAP visualized,6610,,ambiguous
YNL132W,KRE33,tagged,visualized,TAP visualized,low signal,,nucleolus
YNL133C,FYV6,tagged,visualized,TAP visualized,468,,nucleus
YNL134C,,tagged,visualized,TAP visualized,3490,,"cytoplasm,nucleus"
YNL135C,FPR1,tagged,visualized,TAP visualized,43300,,"cytoplasm,nucleus"
YNL136W,,tagged,visualized,TAP visualized,300,,nucleus
YNL137C,NAM9,tagged,visualized,TAP visualized,3270,,mitochondrion
YNL138W,SRV2,tagged,visualized,TAP visualized,8760,,actin
YNL139C,RLR1,tagged,visualized,TAP visualized,521,,nucleus
YNL141W,AAH1,tagged,visualized,TAP visualized,20700,,"cytoplasm,nucleus"
YNL142W,MEP2,tagged,visualized,TAP visualized,technical problem,,cell periphery
YNL143C,,tagged,visualized,TAP visualized,238,,"cytoplasm,nucleus"
YNL146W,,tagged,visualized,not TAP visualized,not visualized,,ER
YNL147W,LSM7,tagged,visualized,TAP visualized,3070,,cytoplasm
YNL148C,ALF1,tagged,visualized,TAP visualized,656,,ambiguous
YNL149C,,tagged,visualized,not TAP visualized,not visualized,,ER
YNL152W,,tagged,visualized,TAP visualized,technical problem,,cytoplasm
YNL153C,GIM3,tagged,visualized,TAP visualized,7470,,cytoplasm
YNL154C,YCK2,tagged,visualized,TAP visualized,6160,,"cytoplasm,nucleus"
YNL155W,,tagged,visualized,TAP visualized,4280,,"cytoplasm,nucleus"
YNL156C,YIG2,tagged,visualized,TAP visualized,3390,,ER
YNL157W,,tagged,visualized,TAP visualized,low signal,,"cytoplasm,nucleus"
YNL158W,,tagged,visualized,TAP visualized,6940,,nuclear periphery
YNL161W,CBK1,tagged,visualized,TAP visualized,450,,"bud neck,cytoplasm"
YNL162W,RPL42A,tagged,visualized,TAP visualized,13600,,cytoplasm
YNL162W-A,,tagged,visualized,TAP visualized,396,,"cytoplasm,nucleus"
YNL163C,RIA1,tagged,visualized,TAP visualized,7770,,cytoplasm
YNL164C,IBD2,tagged,visualized,not TAP visualized,not visualized,,cytoplasm
YNL166C,BNI5,tagged,visualized,not TAP visualized,not visualized,,"ambiguous,bud neck,cytoplasm,bud"
YNL167C,SKO1,tagged,visualized,TAP visualized,504,,"cytoplasm,nucleus"
YNL168C,,tagged,visualized,TAP visualized,2550,,mitochondrion
YNL169C,PSD1,tagged,visualized,TAP visualized,1080,,mitochondrion
YNL172W,APC1,tagged,visualized,TAP visualized,178,,"cytoplasm,nucleus,spindle pole"
YNL173C,MDG1,tagged,visualized,TAP visualized,1240,,punctate composite
YNL175C,NOP13,tagged,visualized,TAP visualized,3830,,"nucleolus,nucleus"
YNL176C,,tagged,visualized,not TAP visualized,not visualized,,vacuole
YNL177C,MRPL22,tagged,visualized,TAP visualized,1810,,mitochondrion
YNL180C,RHO5,tagged,visualized,TAP visualized,2180,,"cytoplasm,nucleus"
YNL181W,,tagged,visualized,TAP visualized,13900,,ER
YNL183C,NPR1,tagged,visualized,TAP visualized,284,,cytoplasm
YNL185C,MRPL19,tagged,visualized,TAP visualized,3190,,mitochondrion
YNL186W,UBP10,tagged,visualized,TAP visualized,low signal,,"cytoplasm,nucleus"
YNL189W,SRP1,tagged,visualized,TAP visualized,2790,35.0,"cytoplasm,nuclear periphery"
YNL190W,,tagged,visualized,TAP visualized,1380,,"ER,cell periphery"
YNL191W,,tagged,visualized,TAP visualized,7300,,cytoplasm
YNL194C,,tagged,visualized,not TAP visualized,not visualized,,cell periphery
YNL197C,WHI3,tagged,visualized,TAP visualized,5730,,cytoplasm
YNL198C,,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YNL200C,,tagged,visualized,TAP visualized,1380,,cytoplasm
YNL201C,PSY2,tagged,visualized,TAP visualized,7010,,nucleus
YNL206C,RTT106,tagged,visualized,TAP visualized,11100,,nucleus
YNL207W,RIO2,tagged,visualized,TAP visualized,10300,,cytoplasm
YNL209W,SSB2,tagged,visualized,TAP visualized,104000,,cytoplasm
YNL211C,,tagged,visualized,TAP visualized,low signal,,mitochondrion
YNL212W,VID27,tagged,visualized,TAP visualized,3500,,cytoplasm
YNL213C,,tagged,visualized,TAP visualized,1160,,mitochondrion
YNL214W,PEX17,tagged,visualized,TAP visualized,656,,peroxisome
YNL215W,IES2,tagged,visualized,TAP visualized,1470,,nucleus
YNL216W,RAP1,tagged,visualized,TAP visualized,4390,909.0,nucleus
YNL217W,,tagged,visualized,TAP visualized,low signal,,vacuole
YNL218W,MGS1,tagged,visualized,TAP visualized,1180,,"cytoplasm,nucleus"
YNL219C,ALG9,tagged,visualized,TAP visualized,technical problem,,ER
YNL220W,ADE12,tagged,visualized,TAP visualized,56800,,cytoplasm
YNL221C,POP1,tagged,visualized,TAP visualized,846,,"cytoplasm,nucleus"
YNL223W,AUT2,tagged,visualized,TAP visualized,3300,,"cytoplasm,nucleus"
YNL224C,,tagged,visualized,TAP visualized,1440,,"cytoplasm,nucleus"
YNL225C,CNM67,tagged,visualized,TAP visualized,technical problem,,spindle pole
YNL227C,,tagged,visualized,TAP visualized,2310,,cytoplasm
YNL229C,URE2,tagged,visualized,TAP visualized,7060,,cytoplasm
YNL230C,ELA1,tagged,visualized,TAP visualized,815,,nucleus
YNL231C,PDR16,tagged,visualized,TAP visualized,15400,,lipid particle
YNL232W,CSL4,tagged,visualized,TAP visualized,5550,,"cytoplasm,nucleolus,nucleus"
YNL233W,BNI4,tagged,visualized,TAP visualized,low signal,,"bud neck,cytoplasm,cell periphery"
YNL234W,,tagged,visualized,TAP visualized,195,,cytoplasm
YNL236W,SIN4,tagged,visualized,TAP visualized,1720,,nucleus
YNL238W,KEX2,tagged,visualized,TAP visualized,low signal,,"punctate composite,early Golgi"
YNL239W,LAP3,tagged,visualized,TAP visualized,521,,"cytoplasm,mitochondrion"
YNL241C,ZWF1,tagged,visualized,TAP visualized,15000,,cytoplasm
YNL242W,APG2,tagged,visualized,TAP visualized,876,,ambiguous
YNL243W,SLA2,tagged,visualized,TAP visualized,40600,,punctate composite
YNL245C,CWC25,tagged,visualized,TAP visualized,861,,nucleus
YNL246W,VPS75,tagged,visualized,TAP visualized,3120,,nucleus
YNL247W,,tagged,visualized,TAP visualized,23000,,cytoplasm
YNL248C,RPA49,tagged,visualized,TAP visualized,low signal,,nucleolus
YNL250W,RAD50,tagged,visualized,TAP visualized,830,,"cytoplasm,nucleus"
YNL251C,NRD1,tagged,visualized,TAP visualized,19600,2250.0,nucleus
YNL252C,MRPL17,tagged,visualized,TAP visualized,7430,,mitochondrion
YNL254C,,tagged,visualized,TAP visualized,799,,"cytoplasm,nucleus"
YNL255C,GIS2,tagged,visualized,TAP visualized,96700,,cytoplasm
YNL256W,FOL1,tagged,visualized,TAP visualized,4590,708.0,"cytoplasm,mitochondrion"
YNL257C,SIP3,tagged,visualized,TAP visualized,432,,ambiguous
YNL258C,DSL1,tagged,visualized,TAP visualized,8970,,ER
YNL259C,ATX1,tagged,visualized,not TAP visualized,not visualized,,cytoplasm
YNL261W,ORC5,tagged,visualized,TAP visualized,768,163.0,nucleus
YNL262W,POL2,tagged,visualized,TAP visualized,1970,,"cytoplasm,nucleus"
YNL264C,PDR17,tagged,visualized,TAP visualized,5040,,cytoplasm
YNL265C,IST1,tagged,visualized,TAP visualized,4760,,endosome
YNL267W,PIK1,tagged,visualized,TAP visualized,1600,,cytoplasm
YNL268W,LYP1,tagged,visualized,TAP visualized,2580,,"cell periphery,vacuole"
YNL271C,BNI1,tagged,visualized,TAP visualized,166,,"bud neck,cytoplasm"
YNL272C,SEC2,tagged,visualized,TAP visualized,13200,1310.0,"ambiguous,bud neck,cytoplasm,bud"
YNL273W,TOF1,tagged,visualized,TAP visualized,952,,nucleus
YNL274C,,tagged,visualized,TAP visualized,3280,,"cytoplasm,nucleus"
YNL275W,,tagged,visualized,TAP visualized,195,,ambiguous
YNL277W,MET2,tagged,visualized,TAP visualized,2240,,"cytoplasm,nucleus"
YNL278W,CAF120,tagged,visualized,TAP visualized,1380,,"bud neck,cytoplasm,cell periphery,bud"
YNL279W,PRM1,tagged,visualized,TAP visualized,low signal,,vacuole
YNL280C,ERG24,tagged,visualized,TAP visualized,1600,,ER
YNL281W,HCH1,tagged,visualized,TAP visualized,8530,,"cytoplasm,nucleus"
YNL282W,POP3,tagged,visualized,TAP visualized,1360,,nucleus
YNL283C,WSC2,tagged,visualized,TAP visualized,low signal,,cell periphery
YNL284C,MRPL10,tagged,visualized,TAP visualized,5350,,mitochondrion
YNL286W,CUS2,tagged,visualized,TAP visualized,1360,,nucleus
YNL287W,SEC21,tagged,visualized,TAP visualized,77900,,"Golgi,early Golgi"
YNL288W,CAF40,tagged,visualized,TAP visualized,18800,,cytoplasm
YNL290W,RFC3,tagged,visualized,TAP visualized,3140,261.0,nucleus
YNL292W,PUS4,tagged,visualized,TAP visualized,3990,,"cytoplasm,nucleus"
YNL293W,MSB3,tagged,visualized,TAP visualized,178,,ambiguous
YNL297C,MON2,tagged,visualized,TAP visualized,2410,,"punctate composite,early Golgi"
YNL298W,CLA4,tagged,visualized,TAP visualized,low signal,,"ambiguous,cytoplasm,cell periphery,bud"
YNL299W,TRF5,tagged,visualized,TAP visualized,2240,,nucleolus
YNL300W,TOS6,tagged,visualized,TAP visualized,1480,,ER
YNL301C,RPL18B,tagged,visualized,TAP visualized,63700,,cytoplasm
YNL302C,RPS19B,tagged,visualized,TAP visualized,3440,,cytoplasm
YNL304W,YPT11,tagged,visualized,TAP visualized,2850,,cytoplasm
YNL305C,,tagged,visualized,not TAP visualized,not visualized,,vacuole
YNL306W,MRPS18,tagged,visualized,TAP visualized,5300,,mitochondrion
YNL307C,MCK1,tagged,visualized,TAP visualized,396,,"cytoplasm,nucleus"
YNL308C,KRI1,tagged,visualized,TAP visualized,1780,,"cytoplasm,nucleolus"
YNL309W,STB1,tagged,visualized,TAP visualized,319,,"cytoplasm,nucleus"
YNL310C,,tagged,visualized,TAP visualized,1520,,mitochondrion
YNL311C,,tagged,visualized,TAP visualized,432,,cytoplasm
YNL312W,RFA2,tagged,visualized,TAP visualized,6080,,nucleus
YNL313C,,tagged,visualized,TAP visualized,8070,,"cytoplasm,nucleus"
YNL315C,ATP11,tagged,visualized,TAP visualized,2840,,mitochondrion
YNL316C,PHA2,tagged,visualized,TAP visualized,2020,,cytoplasm
YNL317W,PFS2,tagged,visualized,TAP visualized,7810,965.0,nucleus
YNL322C,KRE1,tagged,visualized,TAP visualized,623,,ER
YNL323W,LEM3,tagged,visualized,TAP visualized,2460,,ER
YNL325C,FIG4,tagged,visualized,TAP visualized,339,,ambiguous
YNL326C,,tagged,visualized,TAP visualized,2130,,vacuole
YNL327W,EGT2,tagged,visualized,not TAP visualized,not visualized,,ER
YNL328C,MDJ2,tagged,visualized,TAP visualized,573,,mitochondrion
YNL329C,PEX6,tagged,visualized,TAP visualized,1630,,peroxisome
YNL330C,RPD3,tagged,visualized,TAP visualized,3850,,"cytoplasm,nucleus"
YNL336W,COS1,tagged,visualized,TAP visualized,1730,,vacuole
YNR001C,CIT1,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YNR004W,,tagged,visualized,TAP visualized,1720,,nucleolus
YNR006W,VPS27,tagged,visualized,TAP visualized,172,,endosome
YNR007C,AUT1,tagged,visualized,TAP visualized,3610,,cytoplasm
YNR009W,,tagged,visualized,TAP visualized,2880,,"cytoplasm,nucleus"
YNR010W,CSE2,tagged,visualized,TAP visualized,1360,,nucleus
YNR011C,PRP2,tagged,visualized,TAP visualized,172,,"cytoplasm,nucleus"
YNR012W,URK1,tagged,visualized,TAP visualized,low signal,,"cytoplasm,nucleus"
YNR013C,PHO91,tagged,visualized,TAP visualized,4280,,ER
YNR014W,,tagged,visualized,TAP visualized,2360,,cytoplasm
YNR015W,SMM1,tagged,visualized,TAP visualized,2650,,"cytoplasm,nucleus"
YNR016C,ACC1,tagged,visualized,TAP visualized,20200,,"cytoplasm,punctate composite"
YNR017W,MAS6,tagged,visualized,TAP visualized,1440,,mitochondrion
YNR018W,,tagged,visualized,TAP visualized,12000,,mitochondrion
YNR019W,ARE2,tagged,visualized,TAP visualized,279,,ER
YNR021W,,tagged,visualized,TAP visualized,34900,,ER
YNR022C,MRPL50,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YNR023W,SNF12,tagged,visualized,not TAP visualized,not visualized,,nucleus
YNR024W,,tagged,visualized,TAP visualized,1350,,nucleus
YNR026C,SEC12,tagged,visualized,TAP visualized,6160,,ER
YNR027W,BUD17,tagged,visualized,TAP visualized,6580,,"cytoplasm,nucleus"
YNR028W,CPR8,tagged,visualized,not TAP visualized,not visualized,,vacuole
YNR029C,,tagged,visualized,TAP visualized,1560,,cytoplasm
YNR030W,ECM39,tagged,visualized,TAP visualized,3550,,ER
YNR031C,SSK2,tagged,visualized,TAP visualized,217,,cytoplasm
YNR032W,PPG1,tagged,visualized,TAP visualized,1960,,"cytoplasm,nucleus"
YNR033W,ABZ1,tagged,visualized,TAP visualized,1550,,cytoplasm
YNR034W,SOL1,tagged,visualized,TAP visualized,1970,,"cytoplasm,nucleus"
YNR034W-A,,tagged,visualized,TAP visualized,2820,,cytoplasm
YNR035C,ARC35,tagged,visualized,TAP visualized,13400,,actin
YNR038W,DBP6,tagged,visualized,TAP visualized,12700,1700.0,"nucleolus,nucleus"
YNR039C,ZRG17,tagged,visualized,TAP visualized,technical problem,,ER
YNR040W,,tagged,visualized,TAP visualized,1140,,mitochondrion
YNR041C,COQ2,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YNR043W,MVD1,tagged,visualized,TAP visualized,13700,,cytoplasm
YNR044W,AGA1,tagged,visualized,not TAP visualized,not visualized,,"ER,ambiguous"
YNR045W,PET494,tagged,visualized,TAP visualized,450,,mitochondrion
YNR046W,,tagged,visualized,TAP visualized,4800,,"cytoplasm,nucleus"
YNR047W,,tagged,visualized,TAP visualized,752,,cytoplasm
YNR048W,,tagged,visualized,TAP visualized,4510,,ambiguous
YNR049C,MSO1,tagged,visualized,TAP visualized,1380,,"ambiguous,bud neck,cytoplasm,bud"
YNR050C,LYS9,tagged,visualized,TAP visualized,57500,,cytoplasm
YNR051C,BRE5,tagged,visualized,TAP visualized,11700,,cytoplasm
YNR052C,POP2,tagged,visualized,TAP visualized,1520,,"cytoplasm,mitochondrion"
YNR053C,NOG2,tagged,visualized,TAP visualized,67700,,nucleus
YNR054C,,tagged,visualized,TAP visualized,12800,,"cytoplasm,nucleolus"
YNR055C,HOL1,tagged,visualized,TAP visualized,technical problem,,cell periphery
YNR056C,BIO5,tagged,visualized,not TAP visualized,not visualized,,cell periphery
YNR061C,,tagged,visualized,TAP visualized,339,,vacuole
YNR067C,DSE4,tagged,visualized,TAP visualized,64.3,,vacuole
YNR075W,COS10,tagged,visualized,TAP visualized,2370,,ER
YOL001W,PHO80,tagged,visualized,TAP visualized,technical problem,,"cytoplasm,nucleus"
YOL004W,SIN3,tagged,visualized,TAP visualized,1660,,mitochondrion
YOL005C,RPB11,tagged,visualized,TAP visualized,4280,,nucleus
YOL006C,TOP1,tagged,visualized,TAP visualized,2970,,"nucleolus,nucleus"
YOL007C,CSI2,tagged,visualized,not TAP visualized,not visualized,,vacuole
YOL009C,MDM12,tagged,visualized,TAP visualized,1070,,mitochondrion
YOL010W,RCL1,tagged,visualized,TAP visualized,10000,598.0,"nucleolus,nucleus"
YOL011W,PLB3,tagged,visualized,TAP visualized,low signal,,vacuole
YOL012C,HTZ1,tagged,visualized,TAP visualized,2840,,nucleus
YOL013C,HRD1,tagged,visualized,TAP visualized,2660,,ER
YOL016C,CMK2,tagged,visualized,TAP visualized,7500,,cytoplasm
YOL017W,ESC8,tagged,visualized,TAP visualized,432,,"cytoplasm,nucleus"
YOL019W,TOS7,tagged,visualized,TAP visualized,technical problem,,"cell periphery,vacuole"
YOL020W,TAT2,tagged,visualized,TAP visualized,752,,"cell periphery,vacuole"
YOL021C,DIS3,tagged,visualized,TAP visualized,606,,"cytoplasm,nucleolus,nucleus"
YOL022C,,tagged,visualized,TAP visualized,125,,cytoplasm
YOL023W,IFM1,tagged,visualized,TAP visualized,1400,,mitochondrion
YOL027C,MDM38,tagged,visualized,TAP visualized,7390,,mitochondrion
YOL028C,YAP7,tagged,visualized,TAP visualized,1690,,nucleus
YOL030W,GAS5,tagged,visualized,TAP visualized,11700,,"ER,nucleus"
YOL031C,SIL1,tagged,visualized,TAP visualized,2420,,ambiguous
YOL032W,,tagged,visualized,TAP visualized,1910,,"cytoplasm,nucleus"
YOL033W,MSE1,tagged,visualized,TAP visualized,2940,,mitochondrion
YOL034W,SMC5,tagged,visualized,TAP visualized,892,,"cytoplasm,nucleus"
YOL038W,PRE6,tagged,visualized,TAP visualized,16800,,"cytoplasm,nucleus"
YOL039W,RPP2A,tagged,visualized,TAP visualized,428000,,cytoplasm
YOL041C,NOP12,tagged,visualized,TAP visualized,5910,,nucleolus
YOL042W,NGL1,tagged,visualized,TAP visualized,3480,,mitochondrion
YOL043C,NTG2,tagged,visualized,TAP visualized,125,,mitochondrion
YOL044W,PEX15,tagged,visualized,TAP visualized,1070,,punctate composite
YOL045W,PSK2,tagged,visualized,TAP visualized,2220,,cytoplasm
YOL047C,,tagged,visualized,TAP visualized,155,,punctate composite
YOL048C,,tagged,visualized,TAP visualized,low signal,,lipid particle
YOL049W,GSH2,tagged,visualized,TAP visualized,3430,,cytoplasm
YOL051W,GAL11,tagged,visualized,TAP visualized,606,,nucleus
YOL052C,SPE2,tagged,visualized,TAP visualized,7060,,"cytoplasm,nucleus"
YOL052C-A,DDR2,tagged,visualized,TAP visualized,784,,"cytoplasm,vacuole"
YOL054W,PSH1,tagged,visualized,TAP visualized,6490,,nucleus
YOL055C,THI20,tagged,visualized,TAP visualized,195,,ambiguous
YOL056W,GPM3,tagged,visualized,TAP visualized,3730,,cytoplasm
YOL057W,,tagged,visualized,TAP visualized,3260,,"cytoplasm,nucleus"
YOL058W,ARG1,tagged,visualized,TAP visualized,1870,,cytoplasm
YOL059W,GPD2,tagged,visualized,TAP visualized,8970,,"cytoplasm,nucleus"
YOL060C,MAM3,tagged,visualized,TAP visualized,5890,,vacuolar membrane
YOL061W,PRS5,tagged,visualized,TAP visualized,3310,,cytoplasm
YOL062C,APM4,tagged,visualized,TAP visualized,3410,,"bud neck,cell periphery"
YOL064C,MET22,tagged,visualized,TAP visualized,7330,,"cytoplasm,nucleus"
YOL066C,RIB2,tagged,visualized,TAP visualized,1540,,cytoplasm
YOL067C,RTG1,tagged,visualized,TAP visualized,2190,,"cytoplasm,nucleus"
YOL068C,HST1,tagged,visualized,TAP visualized,1440,,"cytoplasm,nucleus"
YOL069W,NUF2,tagged,visualized,TAP visualized,1550,,spindle pole
YOL070C,,tagged,visualized,TAP visualized,1620,,"bud neck,cytoplasm,cell periphery"
YOL071W,EMI5,tagged,visualized,TAP visualized,1080,,mitochondrion
YOL072W,THP1,tagged,visualized,TAP visualized,1140,,nuclear periphery
YOL076W,MDM20,tagged,visualized,TAP visualized,5800,,cytoplasm
YOL077C,BRX1,tagged,visualized,TAP visualized,13200,,"nucleolus,nucleus"
YOL077W-A,ATP19,tagged,visualized,TAP visualized,1320,,mitochondrion
YOL080C,REX4,tagged,visualized,TAP visualized,4280,,"nucleolus,nucleus"
YOL081W,IRA2,tagged,visualized,TAP visualized,technical problem,,cytoplasm
YOL082W,CVT19,tagged,visualized,TAP visualized,1250,,punctate composite
YOL084W,PHM7,tagged,visualized,not TAP visualized,not visualized,,"cell periphery,vacuole"
YOL087C,,tagged,visualized,TAP visualized,589,,cytoplasm
YOL088C,MPD2,tagged,visualized,TAP visualized,1520,,vacuole
YOL089C,HAL9,tagged,visualized,TAP visualized,238,,"cytoplasm,nucleus"
YOL090W,MSH2,tagged,visualized,TAP visualized,1230,,nucleus
YOL092W,,tagged,visualized,TAP visualized,1800,,vacuolar membrane
YOL093W,TRM10,tagged,visualized,TAP visualized,4090,,"cytoplasm,nucleus"
YOL094C,RFC4,tagged,visualized,TAP visualized,2760,,nucleus
YOL096C,COQ3,tagged,visualized,TAP visualized,259,,mitochondrion
YOL097C,WRS1,tagged,visualized,TAP visualized,12100,2170.0,cytoplasm
YOL098C,,tagged,visualized,TAP visualized,8120,,cytoplasm
YOL100W,PKH2,tagged,visualized,TAP visualized,low signal,,cytoplasm
YOL101C,,tagged,visualized,TAP visualized,technical problem,,ER
YOL102C,TPT1,tagged,visualized,TAP visualized,672,,cytoplasm
YOL103W,ITR2,tagged,visualized,TAP visualized,468,,ambiguous
YOL105C,WSC3,tagged,visualized,TAP visualized,technical problem,,cell periphery
YOL107W,,tagged,visualized,TAP visualized,1630,,"Golgi,early Golgi"
YOL108C,INO4,tagged,visualized,TAP visualized,521,,"cytoplasm,nucleus"
YOL111C,,tagged,visualized,TAP visualized,6510,,cytoplasm
YOL112W,MSB4,tagged,visualized,TAP visualized,1730,,"ambiguous,bud neck,cell periphery,bud"
YOL113W,SKM1,tagged,visualized,TAP visualized,238,,ambiguous
YOL115W,TRF4,tagged,visualized,TAP visualized,7550,,nucleus
YOL116W,MSN1,tagged,visualized,TAP visualized,491,,microtubule
YOL117W,RRI2,tagged,visualized,TAP visualized,1320,,cytoplasm
YOL121C,RPS19A,tagged,visualized,TAP visualized,29000,,cytoplasm
YOL123W,HRP1,tagged,visualized,not TAP visualized,not visualized,,nucleus
YOL124C,,tagged,visualized,TAP visualized,2020,,cytoplasm
YOL125W,,tagged,visualized,TAP visualized,1230,,"cytoplasm,nucleus"
YOL126C,MDH2,tagged,visualized,TAP visualized,5260,,peroxisome
YOL129W,VPS68,tagged,visualized,TAP visualized,1900,,vacuolar membrane
YOL130W,ALR1,tagged,visualized,TAP visualized,low signal,,ambiguous
