yORF,gene name,GFP tagged,GFP visualized?,TAP visualized?,abundance,error,localization summary
YBR089C-A,NHP6B,tagged,visualized,TAP visualized,4590,,nucleus
YBR090C,,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YBR092C,PHO3,tagged,visualized,TAP visualized,952,,vacuole
YBR093C,PHO5,tagged,visualized,TAP visualized,1110,,vacuole
YBR094W,,tagged,visualized,TAP visualized,1770,,cytoplasm
YBR095C,RXT2,tagged,visualized,TAP visualized,1630,,nucleus
YBR096W,,tagged,visualized,TAP visualized,1950,,ER
YBR097W,VPS15,tagged,visualized,TAP visualized,279,,endosome
YBR100W,,tagged,visualized,TAP visualized,low signal,,"cytoplasm,nucleus"
YBR101C,FES1,tagged,visualized,TAP visualized,13100,,cytoplasm
YBR102C,EXO84,tagged,visualized,not TAP visualized,not visualized,,"ambiguous,bud neck,cell periphery,bud"
YBR103W,SIF2,tagged,visualized,TAP visualized,1620,,nucleus
YBR104W,YMC2,tagged,visualized,TAP visualized,1050,,mitochondrion
YBR105C,VID24,tagged,visualized,TAP visualized,6650,,"cytoplasm,nucleus"
YBR106W,PHO88,tagged,visualized,TAP visualized,61800,,ER
YBR107C,IML3,tagged,visualized,TAP visualized,125,,"nucleus,spindle pole"
YBR109C,CMD1,tagged,visualized,not TAP visualized,not visualized,,"bud neck,cell periphery,bud"
YBR110W,ALG1,tagged,visualized,TAP visualized,1890,,ER
YBR111C,YSA1,tagged,visualized,TAP visualized,7330,,"cytoplasm,nucleus"
YBR112C,CYC8,tagged,visualized,TAP visualized,3890,,nucleus
YBR114W,RAD16,tagged,visualized,TAP visualized,358,,"cytoplasm,nucleus"
YBR115C,LYS2,tagged,visualized,TAP visualized,7430,,cytoplasm
YBR117C,TKL2,tagged,visualized,TAP visualized,149,,"cytoplasm,nucleus"
YBR118W,TEF2,tagged,visualized,TAP visualized,450,,cytoplasm
YBR119W,MUD1,tagged,visualized,TAP visualized,2950,,nucleus
YBR120C,CBP6,tagged,visualized,TAP visualized,2130,,mitochondrion
YBR121C,GRS1,tagged,visualized,TAP visualized,98400,12100.0,cytoplasm
YBR122C,MRPL36,tagged,visualized,TAP visualized,low signal,,mitochondrion
YBR123C,TFC1,tagged,visualized,TAP visualized,15800,1080.0,nucleus
YBR125C,PTC4,tagged,visualized,TAP visualized,149,,cytoplasm
YBR126C,TPS1,tagged,visualized,TAP visualized,10900,,cytoplasm
YBR127C,VMA2,tagged,visualized,TAP visualized,131000,,vacuolar membrane
YBR129C,OPY1,tagged,visualized,TAP visualized,1560,,cytoplasm
YBR130C,SHE3,tagged,visualized,TAP visualized,1010,,"ambiguous,cytoplasm,cell periphery,bud"
YBR131W,CCZ1,tagged,visualized,TAP visualized,2870,,endosome
YBR132C,AGP2,tagged,visualized,not TAP visualized,not visualized,,ER
YBR133C,HSL7,tagged,visualized,TAP visualized,1180,,"bud neck,cytoplasm"
YBR135W,CKS1,tagged,visualized,TAP visualized,8780,,"cytoplasm,nucleus"
YBR137W,,tagged,visualized,TAP visualized,1200,,cytoplasm
YBR138C,HDR1,tagged,visualized,TAP visualized,195,,cytoplasm
YBR139W,,tagged,visualized,TAP visualized,1420,,vacuole
YBR140C,IRA1,tagged,visualized,not TAP visualized,not visualized,,cytoplasm
YBR141C,,tagged,visualized,TAP visualized,623,,nucleolus
YBR142W,MAK5,tagged,visualized,TAP visualized,981,,"nucleolus,nucleus"
YBR143C,SUP45,tagged,visualized,TAP visualized,13100,,cytoplasm
YBR145W,ADH5,tagged,visualized,TAP visualized,1310,,"cytoplasm,nucleus"
YBR149W,ARA1,tagged,visualized,TAP visualized,30200,,"cytoplasm,nucleus"
YBR150C,TBS1,tagged,visualized,TAP visualized,573,,"cytoplasm,nucleus"
YBR151W,APD1,tagged,visualized,TAP visualized,2000,,"cytoplasm,nucleus"
YBR152W,SPP381,tagged,visualized,TAP visualized,2510,,nucleus
YBR155W,CNS1,tagged,visualized,TAP visualized,672,,cytoplasm
YBR156C,SLI15,tagged,visualized,TAP visualized,319,,"nucleus,microtubule"
YBR158W,AMN1,tagged,visualized,TAP visualized,2020,,"cytoplasm,nucleus"
YBR159W,,tagged,visualized,TAP visualized,41900,,ER
YBR160W,CDC28,tagged,visualized,TAP visualized,6670,,"cytoplasm,nucleus"
YBR161W,,tagged,visualized,TAP visualized,195,,vacuole
YBR162C,TOS1,tagged,visualized,TAP visualized,12300,,vacuole
YBR162W-A,YSY6,tagged,visualized,TAP visualized,846,,ER
YBR163W,DEM1,tagged,visualized,TAP visualized,1420,,mitochondrion
YBR164C,ARL1,tagged,visualized,TAP visualized,5190,,"punctate composite,early Golgi"
YBR166C,TYR1,tagged,visualized,TAP visualized,2180,,cytoplasm
YBR167C,POP7,tagged,visualized,TAP visualized,low signal,,nucleus
YBR168W,,tagged,visualized,TAP visualized,technical problem,,ambiguous
YBR169C,SSE2,tagged,visualized,TAP visualized,6300,,cytoplasm
YBR170C,NPL4,tagged,visualized,TAP visualized,1050,,"cytoplasm,nucleus"
YBR171W,SEC66,tagged,visualized,TAP visualized,7820,,ER
YBR172C,SMY2,tagged,visualized,TAP visualized,486,,cytoplasm
YBR173C,UMP1,tagged,visualized,TAP visualized,2740,,"cytoplasm,nucleus"
YBR175W,SWD3,tagged,visualized,TAP visualized,technical problem,,"cytoplasm,nucleus"
YBR176W,ECM31,tagged,visualized,TAP visualized,1420,,mitochondrion
YBR177C,EHT1,tagged,visualized,TAP visualized,2550,,ER
YBR179C,FZO1,tagged,visualized,TAP visualized,1010,,mitochondrion
YBR181C,RPS6B,tagged,visualized,TAP visualized,38800,,cytoplasm
YBR185C,MBA1,tagged,visualized,TAP visualized,2720,,mitochondrion
YBR187W,,tagged,visualized,TAP visualized,2170,,vacuole
YBR188C,NTC20,tagged,visualized,TAP visualized,1430,,nucleus
YBR189W,RPS9B,tagged,visualized,TAP visualized,63300,,cytoplasm
YBR191W,RPL21A,tagged,visualized,not TAP visualized,not visualized,,cytoplasm
YBR193C,MED8,tagged,visualized,TAP visualized,937,,ambiguous
YBR194W,SOY1,tagged,visualized,TAP visualized,low signal,,nucleus
YBR195C,MSI1,tagged,visualized,TAP visualized,149,,"cytoplasm,nucleus"
