yORF,G1 Post-START,S/G2,Metaphase,Anaphase,Telophase
YDR073W,0.34164953472799997,0.369150129194,0.3374032229785,0.3493843740625,0.486392575395
YDR074W,1.002194452101,0.753012472642,0.9419726988615,0.986251602986,0.9001703268025
YDR075W,1.30833360748,1.3894346294500002,1.2974325094735,1.049643973238,1.195755232145
YDR076W,0.6439677947475,0.6596038011384999,0.678476756796,0.534324606726,0.48474853665500006
YDR077W,3.201434336775,2.387240421945,2.526644760675,2.0622267610250002,2.414573927605
YDR079W,1.7079355302049999,1.39971427869,1.30236756794,1.789884529445,3.16486067139
YDR079C-A,3.343235475875,1.405543535435,1.56420424028,1.404925077715,1.915860072005
YDR080W,1.069575663258,1.168664920335,0.6642429910975001,0.758672170465,0.859412344981
YDR081C,0.704931278004,0.830056845981,0.743626729323,0.6488160064624999,0.6121320644855001
YDR083W,1.94317945786,2.0554020028749997,1.794506513805,1.8583788830749999,1.90121762113
YDR084C,2.0259542056299997,1.491228032995,1.27933738,1.130809233673,1.267542019555
YDR086C,2.366131473135,2.00706328938,1.83843446773,1.5676285317,2.07478959169
YDR087C,2.3182540342399998,2.61534193575,2.146546102655,2.05746678886,2.0796813324
YDR088C,2.705071488115,1.78830080936,1.78594881479,1.712127760755,1.807297979185
YDR089W,0.6431031351365,0.920292025548,0.752971811325,0.7238710088305,0.8351618529175
YDR090C,0.9336142881559999,0.7977042639475,0.6556391115855,0.8584966308694999,0.900054328422
YDR091C,1.09768726088,1.183267366575,1.09497240365,1.13257430625,1.097565138155
YDR092W,2.25304818139,2.1577007797450003,1.9799399700100002,1.94960030913,2.3562350426250003
YDR093W,0.626014211724,0.48961455641749996,0.41968995617250004,0.42905570231650003,0.4396360641495
YDR094W,0.260981879199,0.2336518097245,0.19142728554150001,0.236770498119,0.243305473587
YDR096W,1.3750889750000002,1.0707547597295,1.0157223508955,0.8852563212110001,0.9349979887859999
YDR097C,1.707185611545,1.28678703256,0.798414416038,0.873380706374,1.0584220595559999
YDR098C,2.51502471509,2.23175094005,1.838254884395,2.038884328065,2.021635597085
YDR098C-B,0.005051909568395,0.002847798691755,0.0031044977075050002,0.00279750542765,0.003436430478965
YDR098C-A,0.01312371950295,0.007102449414725,0.008387317600479999,0.00718481002751,0.00886754905246
YDR099W,2.2458533314249998,2.000888364335,1.933292168025,1.917059381035,2.05712944356
